street,school,loc
Mason Street A,McKinley School, 1-999999 006-33
Massachusetts Avenue A,McKinley School, 1-999999 006-33
Matilda Place A,Fairfield Ludlowe High School, 1-999999 008-32
May Street A,McKinley School, 1-999999 006-33
Mayfair Road E,Fairfield Woods Middle School, 28-288 003-32
Mayfair Road O,Fairfield Woods Middle School, 55-115 003-32
Mayfair Road O,Fairfield Woods Middle School, 145-257 003-34
Mayflower Circle A,Fairfield Woods Middle School, 1-999999 003-32
Mayweed Road A,Holland Hill School, 1-999999 007-33
Meadow Court A,Sherman School, 1-999999 009-32
Meadow Ridge Road A,Fairfield Ludlowe High School, 1-999999 008-32
Meadow Street A,McKinley School, 1-999999 006-33
Meadowbrook Road E,Holland Hill School, 12-80 007-33
Meadowbrook Road E,Holland Hill School, 224-452 007-33
Meadowbrook Road O,Holland Hill School, 13-77 007-33
Meadowbrook Road O,Holland Hill School, 237-451 007-33
Meadowcrest Drive A,Stratfield School, 1-999999 004-33
Meadowcroft Road E,Fairfield Woods Middle School, 18-192 003-32
Meadowcroft Road O,Holland Hill School, 7-205 007-33
Meeting House Lane A,Dwight School, 1-999999 001-34
Melin Drive A,Dwight School, 1-999999 001-34
Mellow Street A,Sherman School, 1-999999 009-32
Melody Court A,Fairfield Woods Middle School, 1-999999 003-32
Melody Lane A,Fairfield Woods Middle School, 1-999999 003-32
Melville Avenue A,Fairfield Warde High School, 1-1520 005-33
Melville Avenue A,Stratfield School, 1521-1799 004-33
Melville Drive A,Fairfield Warde High School, 1-999999 005-33
Memory Lane A,Holland Hill School, 1-999999 007-33
Merritt Street A,Stratfield School, 1-999999 004-33
Merry Meet Circle A,Dwight School, 1-999999 001-34
Merton Street A,Fairfield Ludlowe High School, 1-999999 008-32
Merwins Lane A,Dwight School, 1-999999 001-34
Michaela Circle A,Sherman School, 1-999999 009-32
Middlebrook Drive A,Fairfield Ludlowe High School, 1-999999 008-32
Middlebrook Place A,Fairfield Ludlowe High School, 1-999999 008-32
Midlock Road A,Dwight School, 1-999999 001-34
Milandale Road E,McKinley School, 2-84 006-33
Milandale Road E,Holland Hill School, 86-198 007-33
Milandale Road O,Holland Hill School, 1-199 007-33
Mile Common A,Dwight School, 219-319 001-34
Mill Hill Drive A,Mill Hill School, 1-999999 010-32
Mill Hill Lane A,Mill Hill School, 1-999999 010-32
Mill Hill Road A,Mill Hill School, 141-550 010-32
Mill Hill Road E,Fairfield Ludlowe High School, 2-140 008-32
Mill Hill Road E,Fairfield Ludlowe High School, 554-1598 008-32
Mill Hill Road O,Mill Hill School, 1-139 010-32
Mill Hill Road O,Mill Hill School, 555-1599 010-32
Mill Hill Terrace A,Fairfield Ludlowe High School, 1-100 008-32
Mill Hill Terrace E,Fairfield Ludlowe High School, 102-544 008-32
Mill Hill Terrace E,Mill Hill School, 546-999998 010-32
